id,created_at,tweet
7.10611E+17,3/17/16 23:35,Cunha: #impeachment precisa ser conduzido com respeito \xc3\xa0 Constitui\xc3\xa7\xc3\xa3o https://t.co/YsQW2TAsQw https://t.co/fwQMeoh9ZK'
7.10398E+17,3/17/16 9:30,"""Que Deus aben\xc3\xa7oe a todos voc\xc3\xaas.""\n\n#CamaraIndependente #DemocraciaForte https://t.co/npKQ2I6G2F'"
7.10217E+17,3/16/16 21:31,"Sobre a decis\xc3\xa3o do Ministro Teori Zavascki, do STF, de desmembrar o Inqu\xc3\xa9rito 4146, afirmo o seguinte: https://t.co/S7xcCsHxev'"
7.10096E+17,3/16/16 13:31,"Parab\xc3\xa9ns,Petr\xc3\xb3polis, pelo anivers\xc3\xa1rio! #OPovoMereceRespeito #EquipeCunha https://t.co/Wxi0jNw57O'"
7.10036E+17,3/16/16 9:30,"""Que Deus aben\xc3\xa7oe a todos voc\xc3\xaas.""\n\n#CamaraIndependente #DemocraciaForte https://t.co/Wm1Hs5vKmP'"
7.09858E+17,3/15/16 21:44,"Plen\xc3\xa1rio inicia Ordem do Dia para votar MP sobre o Minha Casa, Minha Vida https://t.co/aFOQz98hQb https://t.co/50Du8SPbqs'"
7.09802E+17,3/15/16 18:02,A escola \xc3\xa9 uma institui\xc3\xa7\xc3\xa3o de enorme import\xc3\xa2ncia para a forma\xc3\xa7\xc3\xa3o educacional de todos os cidad\xc3\xa3os. https://t.co/G4R66X8ENj'
7.09757E+17,3/15/16 15:02,\xc3\x89 importante que cada um saiba quais s\xc3\xa3o os direitos do consumidor e fa\xc3\xa7am com que os fornecedores os respeitem. https://t.co/bUSB9YNqBs'
7.09734E+17,3/15/16 13:31,"Parab\xc3\xa9ns, Concei\xc3\xa7\xc3\xa3o de Macabu, pelo anivers\xc3\xa1rio! #OPovoMereceRespeito #EquipeCunha https://t.co/H9BKo1KTJq'"
7.09673E+17,3/15/16 9:30,"""Que Deus aben\xc3\xa7oe a todos voc\xc3\xaas.""\n\n#CamaraIndependente #DemocraciaForte https://t.co/Mz5zefMmQx'"
7.09334E+17,3/14/16 11:01,#EquipeCunha #CamaraIndependente #DemocraciaForte #CunhaPresidente https://t.co/zrqwaGmV75'
7.09311E+17,3/14/16 9:30,"""Que Deus aben\xc3\xa7oe a todos voc\xc3\xaas.""\n\n#CamaraIndependente #DemocraciaForte https://t.co/fvMgB3CQQG'"
7.09009E+17,3/13/16 13:30,"Parab\xc3\xa9ns, Carapebus, pelo anivers\xc3\xa1rio! #OPovoMereceRespeito #EquipeCunha https://t.co/JRn9ddOuCZ'"
7.08646E+17,3/12/16 13:31,"O Dia Mundial Contra a Cibercensura, visa alertar a popula\xc3\xa7\xc3\xa3o mundial ao acesso livre \xc3\xa0 internet. https://t.co/OffoodmCPK'"
7.08428E+17,3/11/16 23:01,#EquipeCunha #CamaraIndependente #DemocraciaForte #CunhaPresidente https://t.co/fzLrFiINXF'
7.08224E+17,3/11/16 9:30,"""Que Deus aben\xc3\xa7oe a todos voc\xc3\xaas.""\n\n#CamaraIndependente #DemocraciaForte https://t.co/64LpmACTm6'"
7.07977E+17,3/10/16 17:12,Plen\xc3\xa1rio da @CamaraDeputados aprova urg\xc3\xaancia para projetos da bancada feminina https://t.co/fkFuf0fyDZ https://t.co/tHDxW9OahG'
7.07967E+17,3/10/16 16:31,Ordem do Dia \xc3\xa9 iniciada com obstru\xc3\xa7\xc3\xa3o pelo #impeachment https://t.co/tizpEtjUKo https://t.co/k9hkIDJHwx'
7.07922E+17,3/10/16 13:31,"Parab\xc3\xa9ns, Barra do Pira\xc3\xad, pelo anivers\xc3\xa1rio! #OPovoMereceRespeito #EquipeCunha https://t.co/5SOFslNSQC'"
7.07861E+17,3/10/16 9:31,"""Que Deus aben\xc3\xa7oe a todos voc\xc3\xaas.""\n\n#CamaraIndependente #DemocraciaForte https://t.co/FZK1eHEQgl'"
7.0756E+17,3/9/16 13:31,"Parab\xc3\xa9ns, Cantagalo, pelo anivers\xc3\xa1rio! #OPovoMereceRespeito #EquipeCunha https://t.co/rrAG5Ob92D'"
7.07499E+17,3/9/16 9:31,"""Que Deus aben\xc3\xa7oe a todos voc\xc3\xaas.""\n\n#CamaraIndependente #DemocraciaForte https://t.co/mlqa8CodmP'"
7.0732E+17,3/8/16 21:39,Plen\xc3\xa1rio da @CamaraDeputados aprova urg\xc3\xaancia para projeto que autoriza uso de subst\xc3\xa2ncia contra o c\xc3\xa2ncer https://t.co/FNS0anKyIY'
7.07197E+17,3/8/16 13:31,"Parab\xc3\xa9ns a todas voc\xc3\xaas, que tem um papel fundamental na transforma\xc3\xa7\xc3\xa3o da sociedade. https://t.co/PmFbFc0ujA'"
7.07137E+17,3/8/16 9:31,"""Que Deus aben\xc3\xa7oe a todos voc\xc3\xaas.""\n\n#CamaraIndependente #DemocraciaForte https://t.co/dKSWm7tT2u'"
7.06978E+17,3/7/16 23:02,#EquipeCunha #CamaraIndependente #DemocraciaForte #CunhaPresidente https://t.co/poC1kvi0n8'
